roi,rho_simple,p_simple,rho_partial,p_partial,attenuation
L_G_and_S_frontomargin,0.1401899890390939,0.2505907402437724,0.1793204238217026,0.1403969338015746,-0.03913043478260869
L_G_and_S_occipital_inf,-0.1328096455973694,0.27665107678114814,-0.14855681402995985,0.22313473119121077,-0.01574716843259044
L_G_and_S_paracentral,0.21074168797953968,0.08218438402141666,0.001388381439532335,0.9909664853882572,0.20935330654000736
L_G_and_S_subcentral,0.1854585312385824,0.12709473456914286,0.0032151991231275123,0.9790821877091798,0.1822433321154549
L_G_and_S_transv_frontopol,-0.004822798684691269,0.9686276729955843,0.08841797588600658,0.4700154236192725,-0.08359517720131532
L_G_and_S_cingul-Ant,-0.029009864815491417,0.8129504473663434,0.007855316039459263,0.9489224052506734,0.021154548776032154
L_G_and_S_cingul-Mid-Ant,0.0577274388016076,0.6375314305696644,0.06105224698575084,0.6182454726068674,-0.003324808184143241
L_G_and_S_cingul-Mid-Post,0.227658019729631,0.05993011389870213,0.08797953964194376,0.47222870447917253,0.13967848008768724
L_G_cingul-Post-dorsal,0.011691633175009137,0.9240392175630145,-0.01896236755571794,0.8770976174661682,-0.007270734380708804
L_G_cingul-Post-ventral,-0.2410668615272196,0.045998997961418785,-0.09444647424187068,0.4401578675172453,0.14662038728534893
L_G_cuneus,0.011472415052977714,0.9254593861960947,0.03518450858604312,0.7741015931488029,-0.023712093533065408
L_G_front_inf-Opercular,0.4056265984654732,0.000544712995934927,0.2017902813299233,0.0963672095394278,0.20383631713554992
L_G_front_inf-Orbital,0.40336134453781514,0.0005890485340611125,0.2452320058458166,0.04225884616658487,0.15812933869199855
L_G_front_inf-Triangul,0.3999269272926562,0.000662551816809326,0.2142857142857143,0.07704869669278352,0.18564121300694192
L_G_front_middle,0.30200949945195477,0.01166765755321993,0.1811837778589697,0.13625266725848675,0.12082572159298507
L_G_front_sup,0.41278772378516626,0.00042378958410975323,0.19378881987577642,0.11060314701701499,0.21899890390938984
L_G_Ins_lg_and_S_cent_ins,0.04884910485933504,0.6901907074823077,-0.08896602119108513,0.4672567185277503,-0.04011691633175009
L_G_insular_short,-0.0014614541468761422,0.9904910587025433,0.05334307636097917,0.6633330093146054,-0.05188162221410303
L_G_occipital_middle,-0.12254293021556449,0.31580841602349213,-0.09941541834124956,0.41636934737529496,0.02312751187431493
L_G_occipital_sup,-0.027986846912678113,0.8194333752635428,-0.05685056631348192,0.6426587705909574,-0.028863719400803806
L_G_oc-temp_lat-fusifor,-0.13405188162221413,0.2721428582053172,-0.16010230179028134,0.18880961993456388,-0.026050420168067218
L_G_oc-temp_med-Lingual,-0.06496163682864452,0.5958939099819374,-0.01885275849470223,0.8778025647813018,0.04610887833394228
L_G_oc-temp_med-Parahip,-0.18903909389842896,0.11979078891473456,-0.0741687979539642,0.5447324955990105,0.11487029594446477
L_G_orbital,0.3149433686518086,0.00839480755712754,0.15020094994519548,0.21799694750828486,0.16474241870661313
L_G_pariet_inf-Angular,0.26397515527950316,0.028399798758840685,0.14475703324808187,0.2353310892152278,0.11921812203142129
L_G_pariet_inf-Supramar,0.2774570697844355,0.020991069278041556,0.0721592985020095,0.5557145559215073,0.20529777128242602
L_G_parietal_sup,0.05531603945926197,0.6516716641706284,-0.03204238217025941,0.793808266614761,0.02327365728900256
L_G_postcentral,0.24709535988308368,0.040668980286687716,0.0069053708439897705,0.9550924125782878,0.24018998903909392
L_G_precentral,0.24983558640847647,0.038421214823145214,0.015308732188527586,0.9006438690528555,0.2345268542199489
L_G_precuneus,0.09170624771647792,0.4535957014912091,0.03993423456339058,0.7445843497926933,0.05177201315308734
L_G_rectus,0.17997807818779687,0.13892356743059686,0.07497259773474607,0.5403693749702216,0.1050054804530508
L_G_subcallosal,0.05447570332480819,0.6566285635869767,-0.025063938618925835,0.8380211818004585,0.029411764705882353
L_G_temp_sup-G_T_transv,0.13255389112166607,0.2775853799315846,0.03781512605042017,0.7577111472177651,0.0947387650712459
L_G_temp_sup-Lateral,0.2773839970770917,0.02102628578588692,0.09115820241139935,0.45631015006128406,0.18622579466569236
L_G_temp_sup-Plan_polar,0.24574351479722326,0.04181737917569012,0.013080014614541469,0.9150504921963438,0.23266350018268178
L_G_temp_sup-Plan_tempo,0.2263792473511144,0.061420542329995935,0.052466203872853494,0.6685417416986195,0.1739130434782609
L_G_temporal_inf,0.1821337230544392,0.13417575247492372,-0.05699671172816954,0.6418030490128965,0.12513701132626967
L_G_temporal_middle,0.3417975886006577,0.004047585783347673,0.06529046401169164,0.5940303998938277,0.27650712458896604
L_Lat_Fis-ant-Horizont,0.3372670807453416,0.004598210070073305,0.24461088783339424,0.04280008671555631,0.09265619291194738
L_Lat_Fis-ant-Vertical,0.18151260504201686,0.1355310080792536,0.16382900986481552,0.17858881422374975,0.017683595177201333
L_Lat_Fis-post,0.0948849104859335,0.4380287278612982,-0.02257946656923639,0.8538910095676201,0.07230544391669712
L_Medial_wall,0.06485202776762879,0.5965156583131105,0.030471318962367558,0.8037109161081346,0.03438070880526123
L_Pole_occipital,-0.024990865911582026,0.8384870558154958,0.06759225429302157,0.5810594374401841,-0.042601388381439544
L_Pole_temporal,0.27248812568505665,0.023503232875339675,0.008622579466569238,0.9439411052766087,0.2638655462184874
L_S_calcarine,-0.12919254658385096,0.2900599490842018,-0.024333211545487763,0.8426823934480308,0.1048593350383632
L_S_central,0.2319327731092437,0.055159308383630166,0.052064303982462555,0.6709343181923793,0.17986846912678114
L_S_cingul-Marginalis,0.01896236755571794,0.8770976174661682,0.0006576543660942639,0.9957208974561018,0.018304713189623678
