video_id,creator,vertical,intended_label,url,label,views_at_24h,views_at_7d,views_at_30d,post_timestamp,caption,hashtags,music_id,duration,creator_followers_at_post,creator_avg_views_trailing_30d
7633144286996974870,ai_glitch0,brainrot,viral,https://www.tiktok.com/@ai_glitch0/video/7633144286996974870,viral,,,46400000,2026-04-26T19:11:46.000Z,Tung and Patapim's evil plan#italianbrainrot #aistory #aiart #brainrot #tungtungtungsahur #tralalerotralala #brbrpatapim,"italianbrainrot,aistory,aiart,brainrot,tungtungtungsahur,tralalerotralala,brbrpatapim",7446268881553737744,61,143600,4651746.7
7635267660724325639,mrsahuur,brainrot,viral,https://www.tiktok.com/@mrsahuur/video/7635267660724325639,mid,,,325500,2026-05-02T12:18:08.000Z,BRAINROT BUSINESSMAN💸 #trending #ai #brainrot #kids #italianbrainrot,"trending,ai,brainrot,kids,italianbrainrot",7635267701048429319,15,109300,
7615769084747156749,brhealt,brainrot,viral,https://www.tiktok.com/@brhealt/video/7615769084747156749,viral,,,40900000,2026-03-10T23:14:08.000Z,#sadstory #brainrot #foodstory,"sadstory,brainrot,foodstory",7615769152120179470,62,318800,2875620.0
7634305506642906401,sunnycartoon01,brainrot,viral,https://www.tiktok.com/@sunnycartoon01/video/7634305506642906401,mid,,,968100,2026-04-29T22:04:33.000Z,Part 1 #brainrot #sadstory #aianimation #foodstory #emotionalstory 67 fruitstory,"brainrot,sadstory,aianimation,foodstory,emotionalstory",7634305531267631905,110,92000,
7616012099432647950,brainrot.stories12,brainrot,viral,https://www.tiktok.com/@brainrot.stories12/video/7616012099432647950,viral,,,108600000,2026-03-11T14:56:46.000Z,Tung tungs get lucky #italianbrainrot #tungtungtungsahur #tralalerotralala,"italianbrainrot,tungtungtungsahur,tralalerotralala",7616012037205887758,61,1200000,5160320.0
7635777258237529366,sir.mew7,brainrot,not_viral,https://www.tiktok.com/@sir.mew7/video/7635777258237529366,dud,,,325,2026-05-03T21:15:41.000Z,Send this to that one person 😒. @Cantina #brainrot #madewithcantina #brainrotmeme #memestiktok #unhinged,"brainrot,madewithcantina,brainrotmeme,memestiktok,unhinged",6817208513685620738,19,10,
7634607467338452238,sharkquest,brainrot,not_viral,https://www.tiktok.com/@sharkquest/video/7634607467338452238,dud,,,10500,2026-04-30T17:36:53.000Z,Why are you so sus? #cursed #shark #brainrot #unhinged #madewithcantina,"cursed,shark,brainrot,unhinged,madewithcantina",6817208513685620738,19,36000,
7635485761164414222,eden.lg1,brainrot,not_viral,https://www.tiktok.com/@eden.lg1/video/7635485761164414222,dud,,,1143,2026-05-03T02:24:47.000Z,b-b-ut it’s alright #Meme #brainrot #fypシ #fyp #viral,"meme,brainrot,fypシ,fyp,viral",7633178943700339476,9,240,
7635385732302933278,bob.beer89,brainrot,not_viral,https://www.tiktok.com/@bob.beer89/video/7635385732302933278,dud,,,2528,2026-05-02T19:56:32.000Z,DO'H TW NOT MINE  #funny #ai #Memes #brainrot,"funny,ai,memes,brainrot",7635385727001430815,14,12,723.8
7628057181409086733,notyourdailyposttoday,brainrot,not_viral,https://www.tiktok.com/@notyourdailyposttoday/video/7628057181409086733,dud,,,1713,2026-04-13T01:58:07.000Z,The audio>>>>#fyp #brainrot #trending,"fyp,brainrot,trending",7605615470113540872,5,5159,
